State,City,Airport,Code,Year,Measure Names,Measure Values
Kentucky,Bowling Green,Bowling Green-Warren County Regional,BWG,2025,Mail tons,0
Kentucky,Bowling Green,Bowling Green-Warren County Regional,BWG,2025,Freight tons,4
Kentucky,Bowling Green,Bowling Green-Warren County Regional,BWG,2025,Passengers,634
Kentucky,Cincinnati,Cincinnati/Northern Kentucky International,CVG,2025,Mail tons,55
Kentucky,Cincinnati,Cincinnati/Northern Kentucky International,CVG,2025,Freight tons,424728
Kentucky,Cincinnati,Cincinnati/Northern Kentucky International,CVG,2025,Passengers,3246043
Kentucky,Elizabethtown,Addington Field,EKX,2025,Mail tons,0
Kentucky,Elizabethtown,Addington Field,EKX,2025,Freight tons,1
Kentucky,Elizabethtown,Addington Field,EKX,2025,Passengers,0
Kentucky,Hopkinsville,Campbell AAF,HOP,2025,Mail tons,0
Kentucky,Hopkinsville,Campbell AAF,HOP,2025,Freight tons,1029
Kentucky,Hopkinsville,Campbell AAF,HOP,2025,Passengers,6207
Kentucky,Lexington,Blue Grass,LEX,2025,Mail tons,0
Kentucky,Lexington,Blue Grass,LEX,2025,Freight tons,1
Kentucky,Lexington,Blue Grass,LEX,2025,Passengers,593242
Kentucky,Louisville,Standiford Field,SDF,2025,Mail tons,275075
Kentucky,Louisville,Standiford Field,SDF,2025,Freight tons,1139764
Kentucky,Louisville,Standiford Field,SDF,2025,Passengers,1686544
Kentucky,Paducah,Barkley Regional,PAH,2025,Mail tons,0
Kentucky,Paducah,Barkley Regional,PAH,2025,Freight tons,0
Kentucky,Paducah,Barkley Regional,PAH,2025,Passengers,381
