OBJECTID,Facility Name,Facility Street Address,City Name,State,Zip Code,County Name,River Name,River Mile Point,Operating Status,Foreign Trade Zone,RT Unique,Area Development District,KYTC District Number,KYTC District Name,County Number,Update Indicator,GUID_Str,End Active Date,Area Development District Name,created_user,created_date,last_edited_user,last_edited_date,LATITUDE,LONGITUDE,GlobalID,x,y
1,Louisville-Jefferson County Riverport Authority,6900 Riverport Dr,Louisville,KY,40268,Jefferson,Ohio,618,Active,Yes,056-CR-1003E -000,KIPDA,5,Louisville,56,2,{B38FB66A-E64F-413B-A3AF-0BF81D0110A6},,KIPDA,,,E-CARIE.ERNST,12/6/2024 17:03,,,7a5a25a4-13fb-4950-9ba5-8393601c5329,-9561886.626,4602762.894
2,Paducah-McCracken County Riverport Authority,2000 Wayne Sullivan Dr,Paducah,KY,42002,McCracken,Tennessee,2,Active,Yes,073-US-0060X -000,PUADD,1,Paducah,73,2,{A63C80A4-54E8-410E-8857-197F93A3445D},,PUADD,,,E-CARIE.ERNST,12/6/2024 17:03,,,334b57ad-dd43-4f6e-8010-918570e15fe8,-9860846.047,4448591.416
3,Henderson County Riverport Authority,6200 Riverport Rd,Henderson,KY,42420,Henderson,Ohio,808,Active,No,051-CR-1360  -000,GRADD,2,Madisonville,51,2,{A221544C-0D18-4456-B264-1E12FF855CD6},,GRADD,JACOB.RICE,12/3/2024 14:10,JACOB.RICE,1/10/2025 20:28,,,4ba181b3-cd1e-4a62-9fc4-7602c2bf40cb,-9757985.926,4553332.751
4,Greenup-Boyd County Riverport Authority,1080 Port Rd,Greenup,KY,41144,Greenup,Ohio,332,Active,Yes,045-CS-7055  -000,FIVCO,9,Flemingsburg,45,2,{0236FF59-8290-48F3-A81E-2E56E3F8F20D},,FIVCO,,,E-CARIE.ERNST,12/6/2024 17:03,,,f2b92b11-f9a2-4780-aa06-b233a5638c02,-9213637.9,4658192.162
5,Northern Kentucky Port Authority,300 Buttermilk Pike,Ft Mitchell,KY,41017,Kenton,Licking,7,Developing,No,059-KY-0371  -000,NKADD,6,Covington,59,2,{3FFAC8DF-DA16-4091-8B7F-30727EC5FEC5},,NKADD,,,E-CARIE.ERNST,12/6/2024 17:03,,,f7c72fb8-d5cf-4b12-8010-73c67646a27d,-9414302.741,4727916.475
6,Eddyville Riverport & Industrial Development Authority,978 Port Authority Rd,Eddyville,KY,42038,Lyon,Cumberland,43,Active,No,072-CS-1079  -000,PEADD,1,Paducah,72,2,{28408EBE-3FB6-43DC-B936-470758B802C0},,PEADD,,,E-CARIE.ERNST,12/6/2024 17:03,,,6f471a3c-3f0c-4a16-be17-d06108f3d919,-9804073.563,4447836.772
7,Hickman-Fulton County Riverport Authority,625 Catlett St,Hickman,KY,42050,Fulton,Mississippi,922,Active,No,038-KY-0094  -000,PUADD,1,Paducah,38,2,{FA5F94B3-711E-4B02-979D-74B586BA55CF},,PUADD,,,E-CARIE.ERNST,12/6/2024 17:03,,,e12a9ecf-bf82-4907-b859-26dc1b9b9cac,-9930238.934,4379048.119
8,Owensboro Riverport Authority,1771 River Rd,Owensboro,KY,42304,Daviess,Ohio,759,Active,No,030-KY-0331  -000,GRADD,2,Madisonville,30,2,{60BA3011-DBF3-407C-BF4B-7C021F57A81C},,GRADD,,,E-CARIE.ERNST,12/6/2024 17:03,,,cab1394b-2a17-4657-91b4-37dbcec53d54,-9701339.729,4550969.756
9,West Kentucky Regional Riverport Authority,297 Kentucky Ave,Kevil,KY,42053,Ballard,Mississippi,951,Developing,No,004-US-0060  -000,PUADD,1,Paducah,4,2,{982764A4-6034-43F2-8592-80958B81657D},,PUADD,,,E-CARIE.ERNST,12/6/2024 17:03,,,27718b1a-8f80-4928-a03d-6b13ee741b44,-9893276.281,4449931.141
10,Maysville-Mason County Riverport Authority,219 Stanley Reed Court St,Maysville,KY,41056,Mason,Ohio,406,Developing,No,081-CS-1170  -000,BTADD,9,Flemingsburg,81,2,{90EEB4AF-5819-48B0-9C75-B5308B970655},,BTADD,,,E-CARIE.ERNST,12/6/2024 17:03,,,960fae67-c2d4-4b2d-b6b6-c57145b8cdfb,-9324770.358,4671397.929
